pickup,drop,hour,dayofweek,event,demand,distance,competitor_fare,fare,pickup_code,drop_code
Indrapuri,Railway Station,21,2,1,65,7.42,102.04,175.26,4,9
Ashoka Garden,New Market,22,5,0,53,4.99,129.88,122.86,1,8
Habibganj,Lalghati,11,1,0,99,8.88,129.56,190.06,3,6
Lalghati,New Market,7,4,1,41,5.76,142.12,138.12,6,8
Lalghati,New Market,13,0,1,39,5.76,139.12,137.22,6,8
Ashoka Garden,Indrapuri,8,1,0,65,6.76,138.12,143.9,1,4
Ashoka Garden,Airport,11,0,0,69,8.99,187.88,180.58,1,0
Airport,Lalghati,4,6,0,42,4.25,125.0,101.2,0,6
Shahpura,BHEL,20,2,1,48,8.38,117.56,164.07,10,2
Shahpura,Kolar,2,6,1,81,4.91,82.92,155.07,10,5
Shahpura,Kolar,23,5,1,25,4.91,94.92,117.9,10,5
MP Nagar,Shahpura,22,6,0,79,3.67,70.04,94.69,7,10
Kolar,Habibganj,12,0,0,59,5.08,82.96,113.51,5,3
Ashoka Garden,Lalghati,23,3,1,63,4.78,75.36,131.9,1,6
BHEL,Habibganj,14,1,0,80,8.25,183.0,171.66,2,3
Indrapuri,BHEL,1,1,1,40,1.57,86.84,77.54,4,2
Airport,Shahpura,9,2,0,20,14.75,227.0,220.0,0,10
Airport,Kolar,21,0,0,62,14.03,180.36,236.1,0,5
Railway Station,Kolar,19,1,1,85,8.59,124.08,225.13,9,5
BHEL,Kolar,0,2,1,51,13.11,237.32,284.25,2,5
Airport,Shahpura,15,6,0,71,14.75,200.0,248.32,0,10
MP Nagar,BHEL,15,3,1,84,8.3,154.6,226.36,7,2
Lalghati,Habibganj,5,2,1,76,8.88,118.56,199.58,6,3
MP Nagar,Ashoka Garden,15,6,1,42,3.76,78.12,100.74,7,1
New Market,Lalghati,11,3,1,88,5.76,121.12,176.99,8,6
Kolar,Airport,12,1,1,40,14.03,231.36,254.63,5,0
Shahpura,Indrapuri,15,0,1,27,6.89,129.68,148.62,10,4
MP Nagar,Railway Station,22,3,0,46,3.31,116.72,90.82,7,9
Kolar,BHEL,13,6,0,51,13.11,200.32,229.49,5,2
BHEL,Kolar,20,0,1,95,13.11,222.32,320.71,2,5
Indrapuri,New Market,9,6,1,23,10.37,208.44,206.42,4,8
MP Nagar,Lalghati,19,6,0,54,7.47,148.64,154.18,7,6
New Market,MP Nagar,16,0,0,67,3.82,113.84,106.26,8,7
Habibganj,BHEL,9,2,0,38,8.25,137.0,138.6,3,2
Airport,Kolar,15,5,0,20,14.03,214.36,210.16,0,5
Indrapuri,Kolar,11,5,1,61,11.56,196.72,253.81,4,5
Airport,Railway Station,13,3,1,73,8.55,157.6,202.64,0,9
New Market,Ashoka Garden,16,2,0,25,4.99,90.88,98.08,8,1
Ashoka Garden,Kolar,9,2,0,86,9.32,154.84,201.03,1,5
Habibganj,BHEL,1,6,0,68,8.25,150.0,163.44,3,2
Airport,Shahpura,12,3,0,65,14.75,233.0,254.92,0,10
New Market,Railway Station,7,0,0,31,4.02,116.24,96.64,8,9
MP Nagar,Lalghati,8,4,0,50,7.47,143.64,133.84,7,6
Airport,MP Nagar,19,3,1,90,11.19,171.28,278.25,0,7
Lalghati,Indrapuri,17,2,0,71,11.44,205.28,211.24,6,4
Railway Station,Habibganj,10,0,1,81,4.71,134.52,162.03,9,3
Habibganj,BHEL,16,3,1,25,8.25,159.0,170.8,3,2
Indrapuri,Habibganj,9,4,1,73,6.68,133.16,170.82,4,3
Habibganj,Kolar,10,0,0,61,5.08,144.96,128.29,3,5
Habibganj,New Market,6,1,0,63,4.74,98.88,112.78,3,8
Ashoka Garden,New Market,7,3,0,68,4.99,102.88,116.46,1,8
Shahpura,Lalghati,10,5,0,99,11.14,144.68,223.46,10,6
New Market,Airport,1,6,1,76,8.43,170.16,203.42,8,0
Railway Station,Kolar,2,6,1,91,8.59,169.08,234.13,9,5
Lalghati,BHEL,3,1,1,73,12.5,232.0,274.4,6,2
BHEL,Habibganj,4,1,0,76,8.25,168.0,167.16,2,3
BHEL,Ashoka Garden,17,5,1,74,7.96,108.52,184.33,2,1
Kolar,Airport,4,1,0,87,14.03,202.36,273.84,5,0
Ashoka Garden,Habibganj,16,2,0,60,5.07,143.84,127.86,1,3
Ashoka Garden,Kolar,6,6,1,29,9.32,171.84,186.21,1,5
Ashoka Garden,Shahpura,16,6,0,97,7.18,143.16,169.93,1,10
Lalghati,BHEL,15,5,1,81,12.5,222.0,310.4,6,2
New Market,Habibganj,11,1,0,75,4.74,111.88,115.38,8,3
Shahpura,MP Nagar,19,6,0,54,3.67,100.04,100.69,10,7
Shahpura,Habibganj,0,0,0,68,2.26,117.12,91.52,10,3
Airport,New Market,7,6,0,37,8.43,181.16,153.16,0,8
MP Nagar,Railway Station,4,0,1,86,3.31,94.72,130.55,7,9
Shahpura,BHEL,9,1,0,30,8.38,128.56,138.16,10,2
Ashoka Garden,Kolar,8,0,1,87,9.32,185.84,249.74,1,5
New Market,Ashoka Garden,16,2,1,45,4.99,75.88,115.06,8,1
Ashoka Garden,Railway Station,20,6,0,58,0.98,70.76,64.71,1,9
MP Nagar,Habibganj,17,4,0,50,1.42,30.04,51.64,7,3
Ashoka Garden,Railway Station,0,0,1,74,0.98,86.76,80.38,1,9
BHEL,Kolar,17,6,0,89,13.11,203.32,261.66,2,5
MP Nagar,Airport,21,3,1,94,11.19,186.28,281.25,7,0
Ashoka Garden,Habibganj,3,4,1,41,5.07,140.84,130.49,1,3
Ashoka Garden,Airport,20,6,1,78,8.99,154.88,208.43,1,0
Airport,Shahpura,19,0,1,74,14.75,236.0,307.6,0,10
Indrapuri,Shahpura,12,2,0,91,6.89,167.68,170.94,4,10
Indrapuri,Airport,13,0,0,22,15.69,227.28,228.08,4,0
MP Nagar,Kolar,14,0,1,83,5.82,86.84,171.14,7,5
BHEL,Airport,7,0,0,75,16.74,242.88,279.82,2,0
Kolar,Airport,17,6,0,62,14.03,236.36,247.3,5,0
Airport,Shahpura,23,0,1,48,14.75,197.0,256.4,0,10
Kolar,MP Nagar,13,2,1,41,5.82,119.84,133.81,5,7
Indrapuri,Shahpura,0,1,0,45,6.89,152.68,131.68,4,10
MP Nagar,Shahpura,12,2,0,69,3.67,98.04,100.29,7,10
BHEL,MP Nagar,6,5,1,95,8.3,185.6,232.56,2,7
Railway Station,Lalghati,16,3,0,45,4.47,136.64,106.54,9,6
Lalghati,New Market,0,1,0,40,5.76,139.12,118.12,6,8
Shahpura,Airport,2,1,0,95,14.75,226.0,288.24,10,0
Indrapuri,New Market,16,5,0,55,10.37,202.44,198.86,4,8
Shahpura,Indrapuri,11,0,1,41,6.89,105.68,143.82,10,4
Lalghati,Airport,3,1,1,99,4.25,88.0,145.0,6,0
Ashoka Garden,Railway Station,21,3,1,52,0.98,53.76,72.86,1,9
Airport,Ashoka Garden,14,0,1,92,8.99,174.88,242.01,0,1
BHEL,Airport,20,3,0,55,16.74,218.88,275.02,2,0
New Market,BHEL,9,4,0,31,11.86,182.32,182.32,8,2
Shahpura,Habibganj,0,1,0,31,2.26,52.12,64.12,10,3
Airport,Kolar,8,1,0,78,14.03,245.36,249.1,0,5
New Market,MP Nagar,8,1,1,71,3.82,116.84,126.38,8,7
Habibganj,Railway Station,10,5,1,77,4.71,89.52,133.73,3,9
Ashoka Garden,BHEL,2,2,1,75,7.96,168.52,196.33,1,2
MP Nagar,Habibganj,21,3,0,60,1.42,96.04,76.73,7,3
MP Nagar,Shahpura,23,1,0,71,3.67,125.04,108.11,7,10
Lalghati,Airport,12,6,1,30,4.25,81.0,107.2,6,0
Lalghati,Airport,21,3,1,26,4.25,116.0,114.42,6,0
Habibganj,Kolar,13,4,1,88,5.08,102.96,161.94,3,5
BHEL,Habibganj,7,4,0,60,8.25,113.0,156.04,2,3
Shahpura,Ashoka Garden,15,6,0,30,7.18,162.16,136.96,10,1
Railway Station,Shahpura,13,0,0,94,6.92,99.04,157.61,9,10
MP Nagar,Airport,19,4,1,47,11.19,145.28,203.34,7,0
BHEL,Ashoka Garden,4,6,0,24,7.96,164.52,144.22,2,1
MP Nagar,Habibganj,19,2,0,100,1.42,82.04,80.51,7,3
Ashoka Garden,Habibganj,8,2,0,94,5.07,121.84,137.31,1,3
New Market,Indrapuri,14,2,0,75,10.37,193.44,196.55,8,4
Indrapuri,Kolar,23,3,0,54,11.56,222.72,216.94,4,5
Habibganj,Airport,14,0,1,55,12.53,163.36,261.1,3,0
Indrapuri,Lalghati,0,6,0,51,11.44,192.28,208.64,4,6
Kolar,Indrapuri,11,4,0,29,11.56,211.72,188.62,5,4
New Market,Shahpura,17,6,1,27,6.72,126.64,145.97,8,10
Shahpura,Railway Station,4,2,0,80,6.92,155.04,149.87,10,9
Lalghati,Railway Station,2,2,0,95,4.47,64.64,117.8,6,9
Ashoka Garden,Railway Station,8,1,1,65,0.98,49.76,72.06,1,9
Lalghati,New Market,7,3,0,54,5.76,158.12,139.1,6,8
Ashoka Garden,Indrapuri,17,3,0,32,6.76,146.12,128.62,1,4
Habibganj,Indrapuri,7,6,0,29,6.68,170.16,135.16,3,4
Airport,Habibganj,6,0,1,22,12.53,186.36,227.63,0,3
New Market,BHEL,13,6,0,25,11.86,220.32,193.72,8,2
Ashoka Garden,Kolar,2,0,1,65,9.32,147.84,211.78,1,5
New Market,Indrapuri,15,2,0,36,10.37,150.44,161.64,8,4
Airport,Ashoka Garden,5,0,1,26,8.99,121.88,172.26,0,1
MP Nagar,BHEL,6,4,1,54,8.3,153.6,198.24,7,2
Airport,New Market,16,3,0,23,8.43,158.16,146.26,0,8
Kolar,MP Nagar,8,1,0,25,5.82,108.84,109.64,5,7
Lalghati,Railway Station,15,3,0,64,4.47,109.64,111.82,6,9
Ashoka Garden,Habibganj,8,0,1,42,5.07,84.84,117.81,1,3
Lalghati,Shahpura,21,5,1,63,11.14,213.68,251.15,6,10
